cluster,total length [bp],number of reads,Genome proportion[%],cumulative GP [%],Repeat Masker,Domain hits,Layout,All missing mates [%],Missing mates,Portion of similarity hits to other clusters[%],Outside reads with similarity [%],
,,,,,,,Ty3-RT Ty3/gypsy chromovirus (4 hits 0.0105%),,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"LTR.Copia (9hits, 0.0125%)",,,,,,
,,,,,,"Low_complexity (1hits, 0.0012%)",,,,,,
10,CL10,2808875,37542,0.606,6.93,"Simple_repeat (454hits, 0.496%)",,,37.9,2.74,2.80E-01,5.13
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (87hits, 0.103%)",,,,,,
,,,,,,"LTR.Copia (10hits, 0.0203%)",,,,,,
,,,,,,"DNA.MULE.MuDR (9hits, 0.0101%)",,,,,,
,,,,,,"LTR.Gypsy (1hits, 0.000854%)",,,,,,
11,CL11,2719369,36426,0.588,7.51,"Simple_repeat (121hits, 0.205%)",Ty1-RT Ty1/copia AleI/Retrofit (3 hits 0.00824%),,52.9,2.89,2.60E+00,12.35
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"LTR.Gypsy (8hits, 0.0197%)",,,,,,
,,,,,,"LINE.L1 (8hits, 0.011%)",,,,,,
,,,,,,"RC.Helitron (1hits, 0.00188%)",,,,,,
,,,,,,"LTR.Copia (1hits, 0.00121%)",,,,,,
12,CL12,2685879,35970,0.581,8.09,"LTR.Gypsy (24252hits, 62.9%)",Ty3-RH Ty3/gypsy chromovirus (18559 hits 51.6%),,33.6,7.7,6.60E-01,4.265
,,,,,,,Ty3-RT Ty3/gypsy chromovirus (1 hits 0.00278%),,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"DNA.CMC.EnSpm (1hits, 0.0016%)",,,,,,
,,,,,,"LTR.Copia (1hits, 0.00112%)",,,,,,
13,CL13,2677867,35898,0.58,8.67,"Simple_repeat (113hits, 0.169%)",,,29.6,6.61,1.40E-01,1.763
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (9hits, 0.0146%)",,,,,,
,,,,,,"LTR.Gypsy (4hits, 0.005%)",,,,,,
,,,,,,"LTR.Copia (2hits, 0.00377%)",,,,,,
,,,,,,"DNA.PIF.Harbinger (2hits, 0.00299%)",,,,,,
14,CL14,2532448,33913,0.548,9.22,"LTR.Gypsy (18853hits, 50.1%)",Ty3-INT Ty3/gypsy chromovirus (19411 hits 57.2%),,40.4,8.02,1.10E+00,5.228
,,,,,,,Ty1-RH Ty1/copia AleI/Retrofit (1 hits 0.00295%),,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (19hits, 0.0174%)",,,,,,
,,,,,,"RC.Helitron (1hits, 0.00115%)",,,,,,
15,CL15,2532757,33889,0.547,9.77,"Simple_repeat (353hits, 0.574%)",,,50.1,12.71,1.60E+00,16.62
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"DNA.CMC.EnSpm (9hits, 0.0176%)",,,,,,
,,,,,,"LTR.Copia (6hits, 0.00932%)",,,,,,
,,,,,,"Low_complexity (3hits, 0.00363%)",,,,,,
,,,,,,"DNA.MULE.MuDR (1hits, 0.00245%)",,,,,,
,,,,,,"DNA.hAT.Ac (1hits, 0.00186%)",,,,,,
16,CL16,2480338,33178,0.536,10.3,"Simple_repeat (52hits, 0.0784%)",,,48,11.91,7.20E-01,3.358
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"LTR.Gypsy (12hits, 0.0224%)",,,,,,
,,,,,,"Low_complexity (7hits, 0.0129%)",,,,,,
,,,,,,"LTR.Copia (6hits, 0.01%)",,,,,,
,,,,,,"DNA.CMC.EnSpm (3hits, 0.00585%)",,,,,,
17,CL17,2372122,31722,0.512,10.8,"LTR.Copia (18239hits, 52.3%)",Ty1-RT Ty1/copia Angela (9268 hits 29.2%),,20.8,6.78,3.10E-01,2.181
,,,,,,,Ty1-RH Ty1/copia Angela (2774 hits 8.74%),,,,,
,,,,,,,Ty1-RT Ty1/copia TAR (1360 hits 4.29%),,,,,
,,,,,,,Ty1-RT Ty1/copia AleII (914 hits 2.88%),,,,,
,,,,,,,Ty1-RH Ty1/copia TAR (418 hits 1.32%)......,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (12hits, 0.0115%)",,,,,,
,,,,,,"RC.Helitron (3hits, 0.007%)",,,,,,
,,,,,,"LTR.Gypsy (1hits, 0.00215%)",,,,,,
,,,,,,"DNA.MULE.MuDR (1hits, 0.00177%)",,,,,,
18,CL18,2367816,31637,0.511,11.3,"Simple_repeat (3503hits, 6.17%)",,,56.1,5.42,5.80E-01,5.895
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (202hits, 0.304%)",,,,,,
,,,,,,"DNA.MULE.MuDR (1hits, 0.00198%)",,,,,,
19,CL19,2314095,30997,0.501,11.8,"LTR.Gypsy (4175hits, 10%)",Ty3-PROT Ty3/gypsy chromovirus (33 hits 0.106%),,29.1,9.21,3.70E-01,3.091
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"LTR.Copia (39hits, 0.0809%)",,,,,,
,,,,,,"Simple_repeat (27hits, 0.0401%)",,,,,,
,,,,,,"Low_complexity (9hits, 0.0159%)",,,,,,
,,,,,,"LINE.L1 (1hits, 0.0019%)",,,,,,
20,CL20,2269348,30343,0.49,12.3,"LTR.Gypsy (100hits, 0.166%)",,,44.1,14.16,6.50E-01,2.841
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (45hits, 0.0565%)",,,,,,
,,,,,,"LTR.Copia (13hits, 0.0286%)",,,,,,
,,,,,,"LINE.L1 (10hits, 0.0249%)",,,,,,
,,,,,,"Low_complexity (2hits, 0.00269%)",,,,,,
21,CL21,2250887,30163,0.487,12.8,"LTR.Gypsy (10828hits, 31%)",Ty3-RT Ty3/gypsy Ogre/Tat (9677 hits 32.1%),,21.3,9.9,2.80E-01,2.069
,,,,,,,Ty3-RH Ty3/gypsy Ogre/Tat (1390 hits 4.61%),,,,,
,,,,,,,Ty3-RT Ty3/gypsy Athila (18 hits 0.0597%),,,,,
,,,,,,,Ty3-RT Ty3/gypsy chromovirus (4 hits 0.0133%),,,,,
,,,,,,,Ty3-RH Ty3/gypsy Athila (1 hits 0.00332%),,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"LTR.Copia (3hits, 0.00422%)",,,,,,
,,,,,,"Simple_repeat (3hits, 0.00409%)",,,,,,
22,CL22,2218667,29701,0.48,13.3,"Simple_repeat (48hits, 0.0792%)",,,42.9,8.74,5.80E-01,2.875
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"LTR.Copia (7hits, 0.0153%)",,,,,,
,,,,,,"Low_complexity (8hits, 0.0128%)",,,,,,
,,,,,,"LTR.Gypsy (2hits, 0.00334%)",,,,,,
23,CL23,2150977,28763,0.464,13.7,"LTR.Copia (343hits, 0.812%)",DTA-CD1 NA NA (1 hits 0.00348%),,28.2,10.48,1.40E-01,1.926
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (104hits, 0.16%)",,,,,,
,,,,,,"LINE.L1 (26hits, 0.0723%)",,,,,,
,,,,,,"Low_complexity (34hits, 0.0613%)",,,,,,
,,,,,,"LTR.Gypsy (11hits, 0.0231%)",,,,,,
,,,,,,"Retroposon (2hits, 0.00507%)",,,,,,
,,,,,,"DNA.MULE.MuDR (1hits, 0.00135%)",,,,,,
24,CL24,2109114,28206,0.455,14.2,"Simple_repeat (245hits, 0.477%)",,,82.1,16.34,2.00E+00,21.41
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"LTR.Gypsy (19hits, 0.053%)",,,,,,
,,,,,,"Low_complexity (11hits, 0.0201%)",,,,,,
,,,,,,"DNA.CMC.EnSpm (4hits, 0.0092%)",,,,,,
25,CL25,2019638,27010,0.436,14.6,"LTR.Gypsy (527hits, 1.56%)",,,49.3,12.04,3.10E-01,3.462
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (108hits, 0.181%)",,,,,,
,,,,,,"LINE.L1 (31hits, 0.0965%)",,,,,,
,,,,,,"Low_complexity (31hits, 0.0662%)",,,,,,
,,,,,,"LTR.Copia (18hits, 0.0484%)",,,,,,
,,,,,,"DNA.hAT.Ac (1hits, 0.00218%)",,,,,,
26,CL26,1982157,26513,0.428,15.1,"Simple_repeat (2178hits, 5.19%)",,,50,5.93,4.60E-01,7.517
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (535hits, 1.33%)",,,,,,
,,,,,,"LTR.Copia (3hits, 0.00515%)",,,,,,
,,,,,,"LTR.Gypsy (1hits, 0.00212%)",,,,,,
27,CL27,1962563,26303,0.425,15.5,"LTR.Gypsy (3576hits, 10.5%)",Ty3-INT Ty3/gypsy Ogre/Tat (8364 hits 31.8%),,27.5,10.14,7.40E-01,1.76
,,,,,,,Ty3-INT Ty3/gypsy Athila (176 hits 0.669%),,,,,
,,,,,,,Ty3-INT Ty3/gypsy chromovirus (72 hits 0.274%),,,,,
,,,,,,,Ty1-INT Ty1/copia Maximus/SIRE (39 hits 0.148%),,,,,
,,,,,,,Ty1-INT Ty1/copia......,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"LTR.Copia (8hits, 0.0243%)",,,,,,
,,,,,,"Simple_repeat (5hits, 0.00841%)",,,,,,
28,CL28,1824007,24433,0.395,15.9,"LTR.Gypsy (5267hits, 17.5%)",Ty3-INT Ty3/gypsy Ogre/Tat (13024 hits 53.3%),,26.9,5.4,4.70E-01,2.943
,,,,,,,Ty3-INT Ty3/gypsy Athila (312 hits 1.28%),,,,,
,,,,,,,Ty3-INT Ty3/gypsy chromovirus (120 hits 0.491%),,,,,
,,,,,,,Ty1-INT Ty1/copia Tork (43 hits 0.176%),,,,,
,,,,,,,Ty1-INT Ty1/copia TAR (1......,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"LTR.Copia (6hits, 0.0187%)",,,,,,
,,,,,,"DNA.CMC.EnSpm (1hits, 0.00225%)",,,,,,
,,,,,,"Simple_repeat (1hits, 0.000877%)",,,,,,
29,CL29,1765366,23589,0.381,16.3,"Simple_repeat (929hits, 2.1%)",,,42.1,19.03,1.60E-02,0.3815
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (47hits, 0.111%)",,,,,,
,,,,,,"LTR.Copia (21hits, 0.0485%)",,,,,,
,,,,,,"RC.Helitron (13hits, 0.0464%)",,,,,,
,,,,,,"DNA.CMC.EnSpm (9hits, 0.0229%)",,,,,,
,,,,,,"LTR.Gypsy (1hits, 0.00261%)",,,,,,
,,,,,,"DNA.MULE.MuDR (1hits, 0.00255%)",,,,,,
30,CL30,1720088,23034,0.372,16.6,"LTR.Gypsy (7050hits, 28%)",Ty3-RT Ty3/gypsy chromovirus (3622 hits 15.7%),,21,3.96,2.60E-01,2.479
,,,,,,,Ty3-PROT Ty3/gypsy chromovirus (16 hits 0.0695%),,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"LTR.Copia (119hits, 0.359%)",,,,,,
,,,,,,"Simple_repeat (112hits, 0.22%)",,,,,,
,,,,,,"DNA.CMC.EnSpm (1hits, 0.00233%)",,,,,,
31,CL31,1661223,22226,0.359,17,"LTR.Gypsy (26hits, 0.0889%)",Ty3-INT Ty3/gypsy chromovirus (7 hits 0.0315%),,26.7,11.48,1.60E-01,0.7154
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (4hits, 0.00849%)",,,,,,
,,,,,,"LTR.Copia (1hits, 0.00331%)",,,,,,
,,,,,,"RC.Helitron (1hits, 0.00217%)",,,,,,
,,,,,,"Low_complexity (1hits, 0.00175%)",,,,,,
32,CL32,1637158,21875,0.353,17.4,"LTR.Gypsy (2hits, 0.0044%)",,,13.2,2.04,5.10E-02,1.838
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (2hits, 0.00403%)",,,,,,
33,CL33,1633142,21858,0.353,17.7,"Simple_repeat (46hits, 0.106%)",,,57.4,2.9,1.20E+00,12.04
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"DNA.hAT.Tag1 (1hits, 0.00361%)",,,,,,
34,CL34,1635260,21831,0.353,18.1,"LTR.Copia (2858hits, 10.6%)",,,50.9,9.51,1.90E+00,7.796
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (1560hits, 4.51%)",,,,,,
,,,,,,"Low_complexity (22hits, 0.0651%)",,,,,,
,,,,,,"DNA.PIF.Harbinger (1hits, 0.00391%)",,,,,,
35,CL35,1618210,21676,0.35,18.4,"Simple_repeat (74hits, 0.148%)",,,30.3,12.83,4.70E-04,0.0092
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"LTR.Gypsy (6hits, 0.0148%)",,,,,,
,,,,,,"Low_complexity (2hits, 0.00501%)",,,,,,
,,,,,,"RC.Helitron (1hits, 0.00315%)",,,,,,
36,CL36,1611424,21597,0.349,18.8,"LTR.Gypsy (293hits, 0.978%)",Ty3-GAG Ty3/gypsy chromovirus (935 hits 4.33%),,28.9,12.46,1.70E-01,1.296
,,,,,,,Ty1-GAG Ty1/copia AleI/Retrofit (2 hits 0.00926%),,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"LTR.Copia (43hits, 0.128%)",,,,,,
,,,,,,"Simple_repeat (5hits, 0.0108%)",,,,,,
,,,,,,"RC.Helitron (1hits, 0.0023%)",,,,,,
37,CL37,1519163,20279,0.327,19.1,"Simple_repeat (823hits, 2.13%)",,,18.4,3.8,3.00E-02,0.3945
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (360hits, 1.06%)",,,,,,
38,CL38,1510677,20219,0.327,19.4,"LTR.Gypsy (446hits, 1.68%)",Ty3-RT Ty3/gypsy chromovirus (268 hits 1.33%),,22.8,8.68,2.10E-01,0.9001
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"LINE.L1 (2hits, 0.00662%)",,,,,,
,,,,,,"Unknown (1hits, 0.00357%)",,,,,,
,,,,,,"LTR.Copia (1hits, 0.00351%)",,,,,,
,,,,,,"DNA.MULE.MuDR (1hits, 0.00324%)",,,,,,
39,CL39,1461254,19556,0.316,19.7,"LTR.Gypsy (11604hits, 54.6%)",Ty3-INT Ty3/gypsy chromovirus (12287 hits 62.8%),,20.7,3.03,6.30E-01,3.82
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (2hits, 0.00356%)",,,,,,
,,,,,,"LTR.Copia (1hits, 0.0024%)",,,,,,
,,,,,,"DNA.CMC.EnSpm (1hits, 0.00178%)",,,,,,
40,CL40,1452947,19452,0.314,20,"LTR.Gypsy (16016hits, 76%)",Ty3-RT Ty3/gypsy chromovirus (6175 hits 31.7%),,25.5,3.61,5.50E-01,5.814
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,Ty3-RH Ty3/gypsy chromovirus (5717 hits 29.4%),,,,,
41,CL41,1452559,19396,0.313,20.4,"LTR.Copia (66hits, 0.293%)",,,45.1,5.22,1.30E+00,8.857
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (85hits, 0.286%)",,,,,,
42,CL42,1438634,19227,0.31,20.7,"LTR.Copia (8468hits, 38.8%)",Ty1-INT Ty1/copia Angela (5424 hits 28.2%),,22.2,6.02,2.80E-01,2.33
,,,,,,,Ty1-INT Ty1/copia Ivana/Oryco (513 hits 2.67%),,,,,
,,,,,,,Ty1-INT Ty1/copia AleI/Retrofit (134 hits 0.697%),,,,,
,,,,,,,Ty1-INT Ty1/copia TAR (113 hits 0.588%),,,,,
,,,,,,,Ty1-PROT Ty1/copia A......,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (62hits, 0.189%)",,,,,,
,,,,,,"Low_complexity (7hits, 0.0231%)",,,,,,
,,,,,,"RC.Helitron (1hits, 0.005%)",,,,,,
43,CL43,1420010,18961,0.306,21,"Simple_repeat (499hits, 1.3%)",,,21.9,6.64,8.80E-02,0.7278
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (91hits, 0.252%)",,,,,,
,,,,,,"LTR.Copia (2hits, 0.00535%)",,,,,,
44,CL44,1406607,18801,0.304,21.3,"Simple_repeat (522hits, 1.35%)",,,73.6,8.02,2.00E+00,13.86
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (4hits, 0.0121%)",,,,,,
,,,,,,"LTR.Gypsy (1hits, 0.0037%)",,,,,,
,,,,,,"LTR.Copia (1hits, 0.00341%)",,,,,,
45,CL45,1396520,18719,0.302,21.6,"LTR.Gypsy (3847hits, 16.2%)",Ty3-INT Ty3/gypsy Ogre/Tat (6820 hits 36.4%),,21.3,7.99,4.20E-01,2.329
,,,,,,,Ty3-RH Ty3/gypsy Ogre/Tat (1308 hits 6.99%),,,,,
,,,,,,,Ty3-INT Ty3/gypsy chromovirus (94 hits 0.502%),,,,,
,,,,,,,Ty1-INT Ty1/copia Tork (14 hits 0.0748%),,,,,
,,,,,,,Ty3-INT Ty3/gypsy Athil......,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"LINE.L1 (2hits, 0.00666%)",,,,,,
,,,,,,"RC.Helitron (2hits, 0.00401%)",,,,,,
,,,,,,"LTR.Copia (1hits, 0.00308%)",,,,,,
46,CL46,1383119,18494,0.299,21.9,"LTR.Copia (4684hits, 21.2%)",Ty1-INT Ty1/copia Angela (4341 hits 23.5%),,21.9,3.07,2.30E-01,3.212
,,,,,,,Ty1-PROT Ty1/copia AleII (312 hits 1.69%),,,,,
,,,,,,,Ty1-INT Ty1/copia unclass(AleI/Retrofit) (180 hits 0.973%),,,,,
,,,,,,,Ty1-INT Ty1/copia AleI/Retrofit (167 hits 0.903%),,,,,
,,,,,,,Ty1-IN......,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (65hits, 0.208%)",,,,,,
,,,,,,"Simple_repeat (59hits, 0.178%)",,,,,,
,,,,,,"LTR.Gypsy (3hits, 0.0119%)",,,,,,
47,CL47,1376801,18437,0.298,22.2,"Simple_repeat (269hits, 0.697%)",,,58.2,8.56,6.60E-01,9.931
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (23hits, 0.0508%)",,,,,,
,,,,,,"LTR.Gypsy (1hits, 0.00472%)",,,,,,
,,,,,,"LTR.Copia (1hits, 0.0037%)",,,,,,
48,CL48,1356003,18187,0.294,22.5,"LTR.Gypsy (526hits, 2.01%)",Ty3-RT Ty3/gypsy Ogre/Tat (108 hits 0.594%),,26.2,11.02,2.50E-01,1.017
,,,,,,,Ty3-PROT Ty3/gypsy Ogre/Tat (31 hits 0.17%),,,,,
,,,,,,,DTA-CD1 NA NA (1 hits 0.0055%),,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"DNA.MULE.MuDR (3hits, 0.00973%)",,,,,,
,,,,,,"LINE.L1 (1hits, 0.00273%)",,,,,,
,,,,,,"DNA.CMC.EnSpm (1hits, 0.00243%)",,,,,,
,,,,,,"Simple_repeat (1hits, 0.00199%)",,,,,,
